name,epoch,replicas,goodput,throughput,efficiency
bert-0,0,1,0.8881035209815001,34.72539960386062,0.9679418019251945
bert-0,0,2,1.8590307808225268,34.81891066323679,0.9679418019251945
bert-0,0,3,2.688782731254137,33.89582514827772,0.9654404066898262
bert-0,0,4,3.683781647705211,33.43369665256945,0.9679418019251945
bert-0,0,5,3.493311298529291,12.974101673813331,0.964167757666139
bert-0,0,6,3.955494810169249,12.579073993492566,0.9651281780488473
bert-0,0,7,4.225538576428004,11.468545340054744,0.964167757666139
bert-0,0,8,4.9952424698791456,12.603632568874989,0.9679418019251945
bert-0,0,9,6.3481179031584745,19.07043706336492,0.9651281780488473
bert-0,0,10,6.624009594247113,19.38083413526359,0.9651281780488473
bert-0,0,11,7.541897665656727,18.886179822679843,0.9654404066898262
bert-0,0,12,7.674974724744241,18.39531687062827,0.9651281780488473
bert-0,0,13,7.73805718859085,17.69939071391427,0.9642582631713443
bert-0,0,14,8.298975371044039,18.896690671938792,0.9671702967474556
bert-0,0,15,8.181787368706889,18.052710071222656,0.9651281780488473
bert-0,0,16,9.2813714855227,16.94740542007169,0.9679418019251945
bert-0,0,17,9.243165258823899,16.47942302205662,0.9666813330354789
bert-0,0,18,9.10900194163412,15.912726249296815,0.9651281780488473
bert-0,0,19,9.712578831840053,16.957070622919588,0.9674223771162256
bert-0,0,20,9.580984026210542,16.524656252214207,0.9651281780488473
bert-0,0,21,9.860410958823218,16.782121507350606,0.9671702967474556
bert-0,0,22,9.58234471748637,16.10096692691371,0.9643499953044338
bert-0,0,23,10.061826713595012,16.910019874988897,0.9659856843702345
bert-0,0,24,10.54886666071541,17.726527204157115,0.9679418019251945
bert-0,0,25,9.721635095359831,16.017201013213114,0.964167757666139
bert-0,0,26,10.6342102761553,17.83074682746141,0.9655469685508115
bert-0,0,27,10.735526413712424,17.79010352129315,0.9671702967474556
bert-0,0,28,9.242380292316746,14.743021076832457,0.9630287320287689
bert-0,0,29,10.526462590712068,17.400439594764844,0.963990421096778
bert-0,0,30,10.569192161600405,17.280204002042144,0.9651281780488473
bert-0,0,31,10.612153992102392,17.169220173464208,0.9664444234230274
bert-0,0,32,12.623211092853104,15.649549674675995,0.9679418019251945
bert-0,0,33,12.668920933484568,15.746911994606167,0.9654404066898262
bert-0,0,34,0.0,0.0,0.0
bert-0,0,35,0.0,0.0,0.0
bert-0,0,36,0.0,0.0,0.0
bert-0,0,37,0.0,0.0,0.0
bert-0,0,38,0.0,0.0,0.0
bert-0,0,39,0.0,0.0,0.0
bert-0,0,40,0.0,0.0,0.0
bert-0,0,41,0.0,0.0,0.0
bert-0,0,42,0.0,0.0,0.0
bert-0,0,43,0.0,0.0,0.0
bert-0,0,44,0.0,0.0,0.0
bert-0,0,45,0.0,0.0,0.0
bert-0,0,46,0.0,0.0,0.0
bert-0,0,47,0.0,0.0,0.0
bert-0,0,48,0.0,0.0,0.0
bert-0,0,49,0.0,0.0,0.0
bert-0,0,50,0.0,0.0,0.0
bert-0,0,51,0.0,0.0,0.0
bert-0,0,52,0.0,0.0,0.0
bert-0,0,53,0.0,0.0,0.0
bert-0,0,54,0.0,0.0,0.0
bert-0,0,55,0.0,0.0,0.0
bert-0,0,56,0.0,0.0,0.0
bert-0,0,57,0.0,0.0,0.0
bert-0,0,58,0.0,0.0,0.0
bert-0,0,59,0.0,0.0,0.0
bert-0,0,60,0.0,0.0,0.0
bert-0,0,61,0.0,0.0,0.0
bert-0,0,62,0.0,0.0,0.0
bert-0,0,63,0.0,0.0,0.0
bert-0,0,64,0.0,0.0,0.0
bert-0,1,1,0.8916109534802401,34.72539960386062,0.9717645438159251
bert-0,1,2,1.8663727458331019,34.81891066323679,0.9717645438159251
bert-0,1,3,2.7208296409267696,33.89582514827772,0.9769472425333707
bert-0,1,4,3.69833019431512,33.43369665256945,0.9717645438159251
bert-0,1,5,3.549790967175791,12.974101673813331,0.9797563699651772
bert-0,1,6,4.00669528297866,12.579073993492566,0.9776209308924978
bert-0,1,7,4.2938568562074595,11.468545340054744,0.9797563699651772
bert-0,1,8,5.014970435554338,12.603632568874989,0.9717645438159251
bert-0,1,9,6.430288820752902,19.07043706336492,0.9776209308924978
bert-0,1,10,6.709751692112491,19.38083413526359,0.9776209308924978
bert-0,1,11,7.631787603747339,18.886179822679843,0.9769472425333707
bert-0,1,12,7.7743206608574456,18.39531687062827,0.9776209308924978
bert-0,1,13,7.860773350910745,17.69939071391427,0.979550224791388
bert-0,1,14,8.35185310101891,18.896690671938792,0.9733327165046665
bert-0,1,15,8.287693557896386,18.052710071222656,0.9776209308924978
bert-0,1,16,9.3180268789674,16.94740542007169,0.9717645438159251
bert-0,1,17,9.316378163466535,16.47942302205662,0.9743381850200065
bert-0,1,18,9.226910124710095,15.912726249296815,0.9776209308924978
bert-0,1,19,9.766750160351943,16.957070622919588,0.9728181176613335
bert-0,1,20,9.705001610776758,16.524656252214207,0.9776209308924978
bert-0,1,21,9.923237527744138,16.782121507350606,0.9733327165046665
bert-0,1,22,9.731318687101203,16.10096692691371,0.9793424685595843
bert-0,1,23,10.163938491281604,16.910019874988897,0.975788925695944
bert-0,1,24,10.590527837455006,17.726527204157115,0.9717645438159251
bert-0,1,25,9.878813967199648,16.017201013213114,0.9797563699651772
bert-0,1,26,10.757257112277879,17.83074682746141,0.9767191662526304
bert-0,1,27,10.803928865998648,17.79010352129315,0.9733327165046665
bert-0,1,28,9.429056058655974,14.743021076832457,0.9824797955938135
bert-0,1,29,10.70307146281581,17.400439594764844,0.9801638753338102
