name,epoch,replicas,goodput,throughput,efficiency
cifar10-0,0,1,9.254796978775758,9.254796978775758,1.0
cifar10-0,0,2,8.920106873329852,10.354575566482817,0.8614652349637333
cifar10-0,0,3,10.31009974624635,13.756989382105829,0.7494444794481733
cifar10-0,0,4,11.264708715529004,16.79458449135197,0.6707345883626675
cifar10-0,0,5,16.523025308959944,21.90718228358449,0.7542286860570376
cifar10-0,0,6,16.19545880750582,24.282928814846933,0.6669483294619585
cifar10-0,0,7,15.706866518500588,25.810336626324908,0.6085494639570326
cifar10-0,0,8,15.14408688804515,27.449090382041515,0.5517154367327641
cifar10-0,0,9,14.555409502437257,28.84598877036844,0.504590417000684
cifar10-0,0,10,13.968235218753081,30.046821619725648,0.46488228923298086
cifar10-0,0,11,13.39759756919353,31.087235441920804,0.4309678033038285
cifar10-0,0,12,12.85136346128584,31.99521377605024,0.40166518502544357
cifar10-0,0,13,12.333207602057465,32.79292020615013,0.37609360570896766
cifar10-0,0,14,11.844421892597355,34.20001245562796,0.34632799938200703
cifar10-0,0,15,11.384917249371453,34.84860440414268,0.32669650461003985
cifar10-0,0,16,10.953477663546813,35.42851536465251,0.3091712297511411
cifar10-0,0,17,10.54867696917089,35.94949361290718,0.29343047450836773
cifar10-0,0,18,10.168893069528112,36.41959589545651,0.27921487922925364
cifar10-0,0,19,9.812443868721397,36.84552787151616,0.2663130218391311
cifar10-0,0,20,9.477667636547402,37.23290777354888,0.2545508315974332
cifar10-0,0,21,9.163048243565228,38.401120763992445,0.23861408368469125
cifar10-0,0,22,8.867073777102341,38.73677026389446,0.22890586170956823
cifar10-0,0,23,8.588246420816068,39.045163131121605,0.21995673041434066
cifar10-0,0,24,8.325270997304562,39.32932404629936,0.21168100899735443
cifar10-0,0,25,8.07639212137346,38.73463493104323,0.20850569873064095
cifar10-0,0,26,7.840079938983652,38.09895297893976,0.20578203142006216
cifar10-0,0,27,7.612196252722606,36.54055090145554,0.2083218798001041
cifar10-0,0,28,7.397615843917653,35.82356947390784,0.20650136076768452
cifar10-0,0,29,7.193190916728313,35.07715282768892,0.20506769611729178
cifar10-0,0,30,6.998214300036866,34.30405664188117,0.20400544381951843
cifar10-0,0,31,6.812030225528871,33.506725824242466,0.2033033684419352
cifar10-0,0,32,6.625734788810972,31.749196388282158,0.20868984234373775
cifar10-0,0,33,6.46364807105054,31.847825714116162,0.20295413976049254
cifar10-0,0,34,6.309057612193133,31.94050589156906,0.19752528759597562
cifar10-0,0,35,6.16147349226686,32.02773574741769,0.19237930339061335
cifar10-0,0,36,6.020445640256582,32.10996125962895,0.1874946404194494
cifar10-0,0,37,5.885560125382305,32.187582256719196,0.18285188612306189
cifar10-0,0,38,5.756435811043091,32.2609581361679,0.17843350426066626
cifar10-0,0,39,5.632721339733324,32.33041276376395,0.17422361356445468
cifar10-0,0,40,5.51409241804999,32.39623868619614,0.17020779700575284
cifar10-0,0,41,5.400249372537428,32.45870076552846,0.16637293684510499
cifar10-0,0,42,5.290914949173703,32.51803932515416,0.16270707148942226
cifar10-0,0,43,5.1858323315420405,32.574472881425834,0.1591992708652251
cifar10-0,0,44,5.084763354995729,32.62820052265523,0.15583952757263306
cifar10-0,0,45,4.987486896320358,32.6794039869784,0.15261866153702489
cifar10-0,0,46,4.893797420468506,32.728249482228954,0.14952823624513678
cifar10-0,0,47,4.803503667860903,32.77488928409364,0.14656048495615046
cifar10-0,0,48,4.716427467502828,32.81946314315352,0.14370824552889505
cifar10-0,0,49,4.632402662755103,32.862099526715845,0.1409649027138119
cifar10-0,0,50,4.551274138030606,32.902916717433726,0.13832433693086843
cifar10-0,0,51,4.472896935969931,32.94202378745039,0.13578087869859193
cifar10-0,0,52,4.39713545579469,32.97952146407425,0.13332926799998124
cifar10-0,0,53,4.3238627245563475,33.01550290069802,0.13096461797239295
cifar10-0,0,54,4.252959733904442,33.05005436474229,0.1286823823939451
cifar10-0,0,55,4.184314835802171,33.08325585277152,0.12647832651125337
cifar10-0,0,56,4.117823191330577,33.11518164154544,0.12434850081463733
cifar10-0,0,57,4.053386267354826,33.145900782592626,0.12228921741911326
cifar10-0,0,58,3.9909113763866713,33.175477546890335,0.1202970287540218
cifar10-0,0,59,3.930311255473995,33.2039718253773,0.11836870830224343
cifar10-0,0,60,3.871503680389101,33.23143949029249,0.11650123316265124
cifar10-0,0,61,3.814411111778269,33.25793272170178,0.1146917682375746
cifar10-0,0,62,3.7589603702822036,33.283500303032234,0.11293765187130124
cifar10-0,0,63,3.705082337945237,33.308187888964696,0.111236382786611
cifar10-0,0,64,3.652711683505186,33.33203824863065,0.10958560818449939
cifar10-0,1,1,9.255741550168361,9.255741550168361,1.0
cifar10-0,1,2,9.362862220088324,11.95846044643846,0.7829487969646484
cifar10-0,1,3,11.126109660766094,16.003782072609283,0.6952175186019685
cifar10-0,1,4,12.3864377490443,19.892888827757016,0.6226565611607506
cifar10-0,1,5,17.820369122526312,25.69024073921069,0.6936629867904394
cifar10-0,1,6,17.813311516625134,28.378880035130315,0.6276960716763302
cifar10-0,1,7,17.55890389825263,30.52064280896749,0.5753123880173822
cifar10-0,1,8,17.16351221160709,32.655051744505926,0.5256005210432649
cifar10-0,1,9,16.68999647406489,34.49797501454836,0.4837964102828194
cifar10-0,1,10,16.178339875542328,36.1000998259192,0.4481522198984774
cifar10-0,1,11,15.653298970986992,37.501926523679856,0.4173998624071492
cifar10-0,1,12,15.13015516611184,38.73597719351124,0.39059696598144245
cifar10-0,1,13,14.618443930876222,40.44176468942745,0.36146899234339963
